id,source,url,headline,abstract,img_url,publish_time
kr36_news|3972565139845640,kr36_news,https://36kr.com/p/3972565139845640,Agent 时代，为什么有人开始重新造 Google？,前 Yandex 搜索负责人想给 Agent 重建一套“搜索引擎”,https://img.36krcdn.com/hsossms/20260907/v2_cbac12ac5dac44fd9d74696a87080419@5091053@ai_oswg875846oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-09-07 14:04:35
qbitai_news|485056,qbitai_news,https://www.qbitai.com/2026/09/485056.html,原生全模态技术战略闭环，智象（HiDream.ai）发布具身世界模型HiDream-O1-Embodied,,https://www.qbitai.com/wp-content/uploads/2026/09/85cdf0f637ea36fe2d59474ba66db983.jpeg,2026-09-07 14:03:34
wscn_news|3781194,wscn_news,https://wallstreetcn.com/articles/3781194,科技股领涨亚洲，韩股大涨4%，SK海力士涨7%，海峡冲突推动油价上涨,韩国首尔综指日内涨幅扩大至4%，SK海力士涨逾7%，三星电子涨逾5%，为MSCI亚太指数的上行贡献最大。布伦特原油上涨1.1%，交投于每桶97美元上方；西德克萨斯中质原油上涨1.2%，报每桶92.53美元。日元周一小幅走高，盘中最多升值0.3%至155.80兑每美元。,https://wpimg-wscn.awtmt.com/dbb73958-4123-46e7-ac17-eda1fc29e24d.png,2026-09-07 13:51:11
kr36_news|3971526495826435,kr36_news,https://36kr.com/p/3971526495826435,具身ICL来了创业玩家，上下文成Scaling新赛道,ICL，从成就GPT-3到驱动机器人,https://img.36krcdn.com/hsossms/20260907/v2_0d9889041d474390a367320235562c64@5091053@ai_oswg902680oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-09-07 13:44:19
github_trending|openai/skills,github_trending,https://github.com/openai/skills,openai/skills,"Skills Catalog for Codex Important This repository is deprecated. For current Codex skill and plugin examples, use the OpenAI Plugins repository. If you want to add your own skills to Codex, follow the Build plugins guide, which includes instructions for creating a skill-only plugin. Agent Skills Agent Skills are folders of instructions, scripts, and resources that AI agents can discover and use to perform at specific tasks. Write once, use everywhere. Codex uses skills to help package capabilities that teams and individuals can use to complete specific tasks in a repeatable way. This repository catalogs skills for use and distribution with Codex. Learn more: Using skills in Codex Create custom skills in Codex Agent Skills open standard Installing a skill Skills in .system are automatically installed in the latest version of Codex. To install curated or experimental skills, you can use the $skill-installer inside Codex. Curated skills can be installed by name (defaults to skills/.curated): $skill-installer gh-address-comments For experimental skills, specify the skill folder. For example: $skill-installer install the create-plan skill from the .experimental folder Or provide the GitHub directory URL: $skill-installer install https://github.com/openai/skills/tree/main/skills/.experimental/create-plan After installing a skill, restart Codex to pick up new skills. License The license of an...",https://opengraph.githubassets.com/93eaaff791bbd924dd066630a285a2b259a09b905e2e5748043b25afb3695686/openai/skills,2026-09-07 13:27:27
github_trending|llvm/llvm-project,github_trending,https://github.com/llvm/llvm-project,llvm/llvm-project,"The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.http://llvm.orgThe LLVM Compiler Infrastructure Welcome to the LLVM project! This repository contains the source code for LLVM, a toolkit for the construction of highly optimized compilers, optimizers, and run-time environments. The LLVM project has multiple components. The core of the project is itself called ""LLVM"". This contains all of the tools, libraries, and header files needed to process intermediate representations and convert them into object files. Tools include an assembler, disassembler, bitcode analyzer, and bitcode optimizer. C-like languages use the Clang frontend. This component compiles C, C++, Objective-C, and Objective-C++ code into LLVM bitcode -- and from there into object files, using LLVM. Other components include: the libc++ C++ standard library, the LLD linker, and more. Getting the Source Code and Building LLVM Consult the Getting Started with LLVM page for information on building and running LLVM. For information on how to contribute to the LLVM project, please take a look at the Contributing to LLVM guide. Getting in touch Join the LLVM Discourse forums, Discord chat, LLVM Office Hours or Regular sync-ups. The LLVM project has adopted a code of conduct for participants to all modes...",https://opengraph.githubassets.com/782071f64895f6ccb3a49ab14bfed66af501019fcb1b14a08b7b5c02da83d304/llvm/llvm-project,2026-09-07 13:27:27
github_trending|aipoch/open-science,github_trending,https://github.com/aipoch/open-science,aipoch/open-science,"Open Science by AIPOCH is an open-source, local-first, model-agnostic AI research workbench for macOS, Windows, and Linux, with scientific agents, Python/R notebooks, data connectors, and reproducible provenance.https://aipoch.com/open-scienceAIPOCH Open Science Open-source, local-first, model-agnostic AI research workbench for reproducible science. Open Science is an open-source, local-first, model-agnostic AI research workbench developed by AIPOCH for scientists and researchers. It enables reproducible, inspectable research with scientific AI agents, Python and R execution, scientific data connectors, and cross-platform support for macOS, Windows, and Linux. Create a project, describe your research goal in plain language, and let the agents read files, search the web, run code, query scientific data sources, and produce reports, tables, and figures with traceable provenance—all in one workspace. Open Science supports computational and data-intensive research across disciplines, including machine learning, statistics, life sciences, chemistry, materials science, physics and environmental science. It supports the research process from literature review and hypothesis development to code execution, data analysis, simulation, visualization, and the production of traceable research outputs. 💡 Open Science v0.26.0 released (last updated September 2026). Open Science v0.26.0 brings HPC-class compute and a literature workspace: remote compute hosts gain a per-host Slurm execution mode alongside direct SSH, and a new reference library organizes...",https://opengraph.githubassets.com/b57893bcd6afa2ad3ce0a4a12f766f6e02db5311f3f87c500bf888ac8c12afc0/aipoch/open-science,2026-09-07 13:27:27
github_trending|The-Swarm-Corporation/AutoHedge,github_trending,https://github.com/The-Swarm-Corporation/AutoHedge,The-Swarm-Corporation/AutoHedge,"Build your autonomous hedge fund in minutes. AutoHedge harnesses the power of swarm intelligence and AI agents to automate market analysis, risk management, and trade execution.https://swarms.xyz/AutoHedge AutoHedge is an enterprise-grade autonomous agent hedge fund that trades on your behalf. It combines swarm intelligence and specialized AI agents to perform end-to-end market analysis, risk management, and execution with minimal human intervention. Current support: Full autonomous trading on Solana. Coming soon: Coinbase and additional exchanges. Overview AutoHedge is built to be the world's most powerful autonomous agent hedge fund. It runs continuous analysis, generates and validates trading theses, sizes risk, and executes orders across supported venues. The system is designed for institutional reliability: structured outputs, comprehensive logging, and a risk-first architecture that scales from single strategies to multi-venue, multi-asset deployment. Features Multi-Agent Architecture: Specialized agents for each stage of the trading pipeline Director Agent: strategy and thesis generation Quant Agent: technical and statistical analysis Risk Management Agent: position sizing and risk assessment Execution Agent: order generation and execution Real-Time Market Analysis: Integration with live market data for analysis and execution Risk-First Design: Built-in risk management and position sizing before any execution Structured Output: JSON-formatted recommendations and analysis for downstream systems Enterprise Logging:...",https://opengraph.githubassets.com/e557dc40fc6fd58962611861b8aa506e50416aceb9c8abe035408380b0f9abc8/The-Swarm-Corporation/AutoHedge,2026-09-07 13:27:27
github_trending|Stremio/stremio-web,github_trending,https://github.com/Stremio/stremio-web,Stremio/stremio-web,"Stremio - Freedom to Streamhttps://web.stremio.com Stremio Web Freedom to Stream — the official web UI of Stremio, a modern media center that's a one-stop solution for your video entertainment. 🌐 Open the Web App · Website · Report a bug ✨ Features 🧩 Addon-powered — discover movies, series and channels from catalogs provided by addons 🔄 Sync everywhere — your library and Continue Watching follow your Stremio account across devices 📺 Casting — play on the big screen via Chromecast 💬 Subtitles — addon-provided or local, with customizable styling ⌨️ Keyboard-first player — full playback control without touching the mouse 🌍 50+ languages — community-translated via stremio-translations 📱 Installable — runs as a standalone PWA 📸 Screenshots Discover Meta Details 🛠 How it works The UI (this repo) is a React app, but the brains live in stremio-core — Stremio's Rust engine compiled to WebAssembly and running in a Web Worker. The UI renders state, the core computes it. Playback goes through stremio-video, which picks the right player implementation for the environment. flowchart LR UI[""React UI&lt;br&gt;(this repo)""] &lt;--&gt; Core[""stremio-core&lt;br&gt;Rust → WASM, Web Worker""] Core &lt;--&gt; API[""Stremio API""] Core &lt;--&gt; Addons[""Addons""] UI --&gt; Video[""stremio-video""] 🚀 Getting started You'll need Node.js 22+...",https://opengraph.githubassets.com/9b6509c469222c6825e3cda59a9bc9e34947f370c19e6ce6134dfa6f9aec23b8/Stremio/stremio-web,2026-09-07 13:27:27
github_trending|OpenWhispr/openwhispr,github_trending,https://github.com/OpenWhispr/openwhispr,OpenWhispr/openwhispr,"Voice-to-text dictation app with local (Nvidia Parakeet/Whisper) and cloud models (BYOK). Privacy-first and available cross-platform.https://openwhispr.com OpenWhispr The open-source and free alternative to WisprFlow and Granola. Privacy-first voice-to-text dictation with AI agents, meeting transcription, and notes. Cross-platform for macOS, Windows, and Linux. Website · Docs · Download · API · Changelog OpenWhispr turns your voice into text, notes, and actions from your desktop. Press a hotkey, speak, and your words appear at your cursor. Choose between fully private offline transcription with local speech-to-text engines like Whisper and NVIDIA Parakeet — where your audio never leaves your device — or cloud processing for speed. No data collection, no telemetry, fully open source. Download Platform Download macOS (Apple Silicon) .dmg macOS (Intel) * .dmg Windows .exe Linux .AppImage / .deb / .rpm / .tar.gz * On Intel Macs, live speaker identification and voice fingerprinting are unavailable: they depend on ONNX Runtime, which stopped shipping macOS x86_64 binaries in 1.24. Meetings still record and transcribe normally, and notes search falls back to keyword matching instead of semantic search. Features Voice dictation — global hotkey to dictate into any app with automatic pasting Dictation translation — dedicated hotkey to dictate in one language and paste...",https://repository-images.githubusercontent.com/1004647857/4bc04d99-18c9-4667-b11f-9cd497d2bc63,2026-09-07 13:27:27
