id,source,url,headline,abstract,img_url,publish_time
tmtpost_news|8100002,tmtpost_news,https://www.tmtpost.com/8100002.html,人工智能怎么能做广告？,消费决策革命与消费者主权的实现。,https://images.tmtpost.com/uploads/images/2026/08/20260812105617577.png,2026-08-12 11:30:00
wscn_news|3779251,wscn_news,https://wallstreetcn.com/articles/3779251,买不起芯片怎么办？英伟达联手华尔街，把AI算力变成可融资、可打包的资产,"英伟达联手Apollo、贝莱德、黑石等华尔街巨头，拟构建5000亿美元AI芯片证券化融资体系，通过SPV将GPU打包成类抵押贷款的新资产类别，为融资受困的中小AI企业开辟资本通道。但""生菜般短暂""的芯片保质期、英伟达自身兜底引发的循环融资争议，以及迄今零实际募资的现实，令这场被比作70年代MBS革命的金融创新，仍悬于理想与风险的刀刃之上。",https://wpimg-wscn.awtmt.com/e722f94f-f70b-4b63-9692-bcbd2ff55f26.png,2026-08-12 11:29:39
wscn_news|3779248,wscn_news,https://wallstreetcn.com/articles/3779248,强劲增长、温和加息、油价可控——德银称市场在定价一个不存在的完美,"全球市场正同时押注强劲增长、温和加息、油价回落与地缘风险可控——德银警告，这一""金发姑娘""式组合几乎没有容错空间。标普创历史新高、信用利差处低位，但PCE通胀仍达3.7%，利率期货仅定价47个基点加息。历史经验显示，相似通胀水平下美联储首年紧缩往往超百个基点。霍尔木兹海峡仍未恢复通行，布伦特年内累计涨逾40%，任何单一假设落空，都可能引发市场重估的连锁反应。",https://wpimg-wscn.awtmt.com/609cd7d1-3a9c-4c2b-99a9-5ea7539d985b.png,2026-08-12 11:25:46
tmtpost_news|8099969,tmtpost_news,https://www.tmtpost.com/8099969.html,桌面办公Agent卡位战：谁先占领你的电脑？,2026年，AI Agent从浏览器对话框走向电脑桌面——这场“占桌运动”的中外开局截然不同：海外OpenClaw、Hermes以开源姿态抢注标准；国内WorkBuddy、Kimi Work、QwenWork、Trae Work等密集落子。桌面办公，正成为Agent从“聊天”到“干活”的第一块试验田。,https://images.tmtpost.com/uploads/images/2026/08/20260812105322592.png,2026-08-12 11:24:00
kr36_news|3935933902945411,kr36_news,https://36kr.com/p/3935933902945411,黄仁勋推出开源AI模型，向开发者免费开放,黄仁勋力推开源AI，背后藏着怎样的算力棋局？,https://img.36krcdn.com/hsossms/20260812/v2_c5a26ef445f44a64a25a236ab71ef470@5091053@ai_oswg1035272oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-08-12 11:21:54
x_tweets|2087377710767353932,x_tweets,https://x.com/steipete/status/2087377710767353932,"RT @kunchenguid: i'm 80% sure Grok Bot was originally built by the Cursor product team, and got rebranded after the acquisition a few tell…",,,2026-08-12 11:16:42
kr36_news|3935931063221635,kr36_news,https://36kr.com/p/3935931063221635,这份AI废片拯救指南，帮你1分钟做出小红书爆款,一键废片秒变质感海报,https://img.36krcdn.com/hsossms/20260812/v2_26754d06ef644a92a5ff8c2013c739d0@5091053@ai_oswg1178489oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-08-12 11:15:54
kr36_news|3935938781854852,kr36_news,https://36kr.com/p/3935938781854852,中国数据生成团队，首次登上Nature期刊,推理交互数据生成决定了大模型能力上限。,https://img.36krcdn.com/hsossms/20260812/v2_213b4daebfa84cf298579c5a0ea4b5ae@5091053@ai_oswg940653oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-08-12 11:15:03
tmtpost_news|8098622,tmtpost_news,https://www.tmtpost.com/8098622.html,算力即资产，还是算力即生产力，中美AI路径分岔,英伟达5000亿美元押注算力资产证券化，中国厂商拿下全球97%人形机器人出货，今年8月，中美AI竞争正在从同一场竞赛变为两场不同赌注。,https://images.tmtpost.com/uploads/images/2026/08/20260812105550859.png,2026-08-12 11:09:00
kr36_news|3935944428338305,kr36_news,https://36kr.com/p/3935944428338305,文生图Scaling新变量，被字节Seed团队发现了,Caption是图像内容进入文本条件学习的主要接口。,https://img.36krcdn.com/hsossms/20260812/v2_36f5be2950614ad8a8b5a8300cb14d89@5091053@ai_oswg848067oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-08-12 11:04:24
