id,source,url,headline,abstract,img_url,publish_time
kr36_news|3794465919704322,kr36_news,https://36kr.com/p/3794465919704322,Anthropic搞了个全是AI的闲鱼群，大模型在里面互割起了韭菜,​AI时代的算力代差，是最高昂的智商税。,https://img.36krcdn.com/hsossms/20260504/v2_c45bc32e84e0408086a85b6dd2cee055@5892437@ai_oswg1124731oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-04 12:35:44
x_tweets|2051156702486298855,x_tweets,https://x.com/garrytan/status/2051156702486298855,"RT @_Lonis_: How do you trade on short AGI timelines? This weekend, I made a graph showing every layer of the AI supply chain and which co…",,,2026-05-04 12:27:21
x_tweets|2051155065331941873,x_tweets,https://x.com/zarazhangrui/status/2051155065331941873,"Before AI, you couldn't afford to build something small. Because the cost of software development was so high, you had to hire a team, convince other people, justify it to a committee. Now, it's literally just you and a coding agent. A coding agent doesn't need to be convinced. It will readily build whatever crazy and weird idea you have. So go build something that would get rejected in every big tech company's product review meeting.",,,2026-05-04 12:20:50
wscn_news|3771519,wscn_news,https://wallstreetcn.com/articles/3771519,AI狂潮继续！亚太股市逼近历史新高，韩股暴涨4%，SK海力士一度涨14%，恒科指大涨近3%,受科技巨头强劲财报及AI热潮提振，亚太股市大幅走高逼近历史峰值。其中，韩国Kospi指数暴涨4%创历史新高，恒生科技指数拉升超3%。此外，受美伊在霍尔木兹海峡释放的矛盾信号影响，布伦特原油价格剧烈震荡。,https://wpimg-wscn.awtmt.com/b15e3b62-ca03-4c17-85f0-4a136d9fbc69.jpeg,2026-05-04 12:11:30
wscn_news|3771527,wscn_news,https://wallstreetcn.com/articles/3771527,Anthropic联手华尔街成立AI合资公司，黑石、高盛集体入局,该合资公司旨在向私募股权（PE）投资组合公司推广AI工具，相关公告最快于周一发布。,https://wpimg-wscn.awtmt.com/598a106a-ef57-4142-9d86-97e371cab909.png,2026-05-04 11:42:52
tmtpost_news|7976143,tmtpost_news,https://www.tmtpost.com/7976143.html,豆包将在免费模式外新增付费订阅，主打生产力场景,据接近豆包的人士透露，付费功能将主要专注在复杂任务和生产力场景。,https://images.tmtpost.com/uploads/images/2026/05/20260504113059200.png,2026-05-04 11:39:04
kr36_news|3794426866605056,kr36_news,https://36kr.com/p/3794426866605056,“失速”的高通，正在重新定义自己,想参与下一轮计算平台搭建，高通需要重新证明自己。,https://img.36krcdn.com/hsossms/20260504/v2_5f19d9e481ba4986b020a18ad5331e7f@000000@ai_oswg326487oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-04 11:36:42
wscn_news|3771526,wscn_news,https://wallstreetcn.com/articles/3771526,十年来第一次！苹果讨论“涨价”，iPhone 18或将涨价,如果苹果选择不涨价，一旦此前采购的低成本库存消耗殆尽，更高的存储成本将在FY27利润表中充分体现，公司盈利面临实质性下行风险。而苹果新任CEO John Ternus正在迎来上任后的第一年。摩根士丹利认为，在这个节点主动接受盈利下滑的可能性极低。,https://wpimg-wscn.awtmt.com/d0295027-0eab-416c-9ffd-4fc82ed1997f.png,2026-05-04 11:30:21
wscn_news|3771524,wscn_news,https://wallstreetcn.com/articles/3771524,全球银行业“不堪重负”，寻求减少“数据中心敞口”,"以Oracle 380亿美元建设债务为例，银行难以消化巨额单笔融资，被迫探索折价出售或""重大风险转移""（SRT）工具分散敞口。内部风险限额约束、监管压力及部分地区公众反对，共同倒逼银行重构数据中心融资模式。",https://wpimg-wscn.awtmt.com/5a3ec783-1bfa-4c06-b53f-db03cb105409.png,2026-05-04 11:22:12
kr36_news|3793285352152325,kr36_news,https://36kr.com/p/3793285352152325,梁文锋留住97%员工,稳定军心。,https://img.36krcdn.com/hsossms/20260503/v2_cc7d174a4b4541b2a75bdee4fa5d789b@000000@ai_oswg278216oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-04 11:06:27
x_tweets|2051136319104098445,x_tweets,https://x.com/petergyang/status/2051136319104098445,I tweeted this as a joke but it's literally what I'm doing right now lol sigh,,,2026-05-04 11:06:21
x_tweets|2051129701134176595,x_tweets,https://x.com/petergyang/status/2051129701134176595,RT @petergyang: The number one mistake I see in AI usage is not managing your context proactively. Here's my new episode with @ravi_mehta…,,,2026-05-04 10:40:03
x_tweets|2051129249348894754,x_tweets,https://x.com/petergyang/status/2051129249348894754,"I caved and downloaded Hermes to try. For those of you who have tried both Hermes and OpenClaw what difference do you notice? No shilling please, just want some honest opinions",,,2026-05-04 10:38:15
x_tweets|2051128578943946838,x_tweets,https://x.com/garrytan/status/2051128578943946838,RT @gabriel1: just because intelligence in models matters a lot do not mean that interfaces suddenly have zero moat this is like saying th…,,,2026-05-04 10:35:36
x_tweets|2051128532886295025,x_tweets,https://x.com/garrytan/status/2051128532886295025,"RT @ycombinator: The deadline to apply for the YC Summer 2026 batch is tomorrow, May 4th, at 8pm PDT! Apply at https://t.co/gNl84ElBrq. ht…",,,2026-05-04 10:35:25
x_tweets|2051127390886305837,x_tweets,https://x.com/garrytan/status/2051127390886305837,"RT @aarthir: Loved this interview with @demishassabis - if you're a startup founder trying to figure out what problems to go build for, thi…",,,2026-05-04 10:30:52
x_tweets|2051125870358888746,x_tweets,https://x.com/garrytan/status/2051125870358888746,"RT @larsencc: If Codex Browser Use Plugin is letting you down, try the real Browser Use instead. Say hi to Browser Use Desktop 🎉 Its ful…",,,2026-05-04 10:24:50
x_tweets|2051125835671945666,x_tweets,https://x.com/garrytan/status/2051125835671945666,RT @jesseproudman: @skaushik100 I'm not conservative. I'm a moderate who has lived in and loved this city for decades. Nobody is saying Sea…,,,2026-05-04 10:24:41
x_tweets|2051122650307821865,x_tweets,https://x.com/adityaag/status/2051122650307821865,RT @pmarca: Co-sign.,,,2026-05-04 10:12:02
x_tweets|2051115027210346936,x_tweets,https://x.com/swyx/status/2051115027210346936,til the show is free on youtube! https://t.co/THkBpFyMsX,,,2026-05-04 09:41:45
github_trending|openwrt/openwrt,github_trending,https://github.com/openwrt/openwrt,openwrt/openwrt,"This repository is a mirror of https://git.openwrt.org/openwrt/openwrt.git It is for reference only and is not active for check-ins. We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git. OpenWrt Project is a Linux operating system targeting embedded devices. Instead of trying to create a single, static firmware, OpenWrt provides a fully writable filesystem with package management. This frees you from the application selection and configuration provided by the vendor and allows you to customize the device through the use of packages to suit any application. For developers, OpenWrt is the framework to build an application without having to build a complete firmware around it; for users this means the ability for full customization, to use the device in ways never envisioned. Sunshine! Download Built firmware images are available for many architectures and come with a package selection to be used as WiFi home router. To quickly find a factory image usable to migrate from a vendor stock firmware to OpenWrt, try the Firmware Selector. OpenWrt Firmware Selector If your device is supported, please follow the Info link to see install instructions or consult the support resources listed below. An advanced user may...",https://opengraph.githubassets.com/a19da1c62f5e7fc4e89940ca8aab833307773210b6a2a7f0e6fac04844ad3e8f/openwrt/openwrt,2026-05-04 09:33:54
github_trending|czlonkowski/n8n-mcp,github_trending,https://github.com/czlonkowski/n8n-mcp,czlonkowski/n8n-mcp,"A MCP for Claude Desktop / Claude Code / Windsurf / Cursor to build n8n workflows for youn8n-MCP A Model Context Protocol (MCP) server that provides AI assistants with comprehensive access to n8n node documentation, properties, and operations. Deploy in minutes to give Claude and other AI assistants deep knowledge about n8n's 1,650 workflow automation nodes (820 core + 830 community). Overview n8n-MCP serves as a bridge between n8n's workflow automation platform and AI models, enabling them to understand and work with n8n nodes effectively. It provides structured access to: 1,650 n8n nodes - 820 core nodes + 830 community nodes (741 verified) Node properties - 99% coverage with detailed schemas Node operations - 63.6% coverage of available actions Documentation - 87% coverage from official n8n docs (including AI nodes) AI tools - 265 AI-capable tool variants detected with full documentation Real-world examples - 156 ranked configurations extracted from popular templates Template library - 2,352 workflow templates with 99.96% AI metadata coverage Community nodes - Search verified community integrations with source filter Support This Project n8n-mcp started as a personal tool but now helps tens of thousands of developers automate their workflows efficiently. Maintaining and developing this project competes with...",https://opengraph.githubassets.com/7dd8253a782860176680c2832ea160f2aa787e8085a2ff263e0fc63b00c523a1/czlonkowski/n8n-mcp,2026-05-04 09:33:54
