id,source,url,headline,abstract,img_url,publish_time
verge_news|dmcyOnF1aWNrUG9zdDo5MzgyMTg=,verge_news,https://www.theverge.com/tech/938218/an-update-on-googles-disregard-issue,An update on Google’s “disregard” issue.,,"https://platform.theverge.com/wp-content/uploads/sites/2/2026/05/Screenshot-2026-05-27-at-8.53.34AM.png?quality=90&strip=all&crop=0,7.6373212942062,100,84.725357411588",2026-05-28 00:00:58
x_tweets|2059665697618493706,x_tweets,https://x.com/joshwoodward/status/2059665697618493706,"A top feature request is rolling out in @NotebookLM: Google Drive files will now automatically sync! 🔄 We're actively rolling this out, starting with 10% today and ramping up soon. https://t.co/0wq1DW21xI",,https://pbs.twimg.com/media/HJVm-KVaMAANidR.jpg,2026-05-27 23:59:03
wscn_news|3773066,wscn_news,https://wallstreetcn.com/articles/3773066,美团推出“跑腿Skill”，跑腿下单告别App来到AI助手,AI助手真实可执行。,https://wpimg-wscn.awtmt.com/6c90a953-9f7f-4cf3-9ad3-1a2990e907e9.png,2026-05-27 23:56:39
x_tweets|2059664523192091126,x_tweets,https://x.com/mattturck/status/2059664523192091126,RT @ceo_clickhouse: Next month marks 10 years of @ClickHouseDB as an open source project and we are thrilled to welcome our community at o…,,,2026-05-27 23:54:23
verge_news|dmcyOnF1aWNrUG9zdDo5MzgyMTM=,verge_news,https://www.theverge.com/ai-artificial-intelligence/938213/this-week-in-the-big-ai-data-center-buildout,This week in the big AI data center buildout.,,,2026-05-27 23:49:16
x_tweets|2059662933924123044,x_tweets,https://x.com/claudeai/status/2059662933924123044,"New in the Claude Marketplace: @augmentcode, @boltdotnew, @coderabbitai, @hebbia, and @WeAreLegora. Apply your existing Anthropic spend commitment toward their Claude-powered products. Learn more: https://t.co/J3Sdsg2lU6 https://t.co/gN0npDM468",,https://pbs.twimg.com/media/HJVjI50WgAQ9IGe.png,2026-05-27 23:48:04
x_tweets|2059662607355900240,x_tweets,https://x.com/garrytan/status/2059662607355900240,RT @nrmehta: @garrytan's quote below around using AI to create new products and services is so spot on - and so hard to do. 5 Failure Patt…,,,2026-05-27 23:46:46
wscn_news|3773065,wscn_news,https://wallstreetcn.com/articles/3773065,字节“豆包股”背后的AI人才暗战,一场关于未来的精确对赌。,https://wpimg-wscn.awtmt.com/3179b7ae-7fa6-4a23-9784-849a4a163ed4.png,2026-05-27 23:46:23
x_tweets|2059656592468103530,x_tweets,https://x.com/garrytan/status/2059656592468103530,I get up in the morning to be a witness to greatness in YC founders.,,,2026-05-27 23:22:52
x_tweets|2059656455805145383,x_tweets,https://x.com/garrytan/status/2059656455805145383,https://t.co/cRwIIexCa9,,,2026-05-27 23:22:20
x_tweets|2059651851264708881,x_tweets,https://x.com/garrytan/status/2059651851264708881,RT @liampluglab: https://t.co/wi2OU8jvat,,,2026-05-27 23:04:02
x_tweets|2059651732339335247,x_tweets,https://x.com/garrytan/status/2059651732339335247,RT @illscience: the big thing that's changed since 2010 is you can be dramatically more ambitious in the type of software you build and cha…,,,2026-05-27 23:03:34
x_tweets|2059651706296971740,x_tweets,https://x.com/garrytan/status/2059651706296971740,"RT @liampluglab: $4 million and 18 months. Then $200 and 5 days. Same product, rebuilt by one man. That gap is the proof of what @garrytan…",,,2026-05-27 23:03:27
x_tweets|2059651619219030055,x_tweets,https://x.com/garrytan/status/2059651619219030055,RT @JiteshGhanchi: I can't believe i'm using the same AI coding setup as the ceo of @ycombinator to build my products @garrytan's gstack…,,,2026-05-27 23:03:07
x_tweets|2059650235333566767,x_tweets,https://x.com/garrytan/status/2059650235333566767,"The best pitch test: can you tell this at a bar to a friend? Not the market size, not the TAM, not the deck. Just the story. Why you built it. What you saw that nobody else saw. What happened. If you can't tell it naturally over drinks (or it would feel weird to your friend and they would think ""this isn't you""), your idea or pitch or endeavor needs to bake some more. The 9pm-at-a-bar test for your startup idea is a defining authenticity test. And without that, nobody will buy your product, let alone come work for you or invest.",,,2026-05-27 22:57:37
x_tweets|2059648853197082909,x_tweets,https://x.com/petergyang/status/2059648853197082909,"Example slide deck the skill can make: https://t.co/rtlnJZySYO Here's a starter prompt you can paste into Claude Code or Codex to make your own /slides skill: Build a /slides skill in markdown that generates self-contained HTML decks. Use 12 varied layouts (cover, stat grid, chart, quote, code, comparison) over bullet lists. Add one subtle ambient animation per slide. Render each to PNG, inspect, fix layout bugs. Ask me any questions before you start. If you want my full /slides prompt with the 12 formats + 3 templates, check out https://t.co/DY7hLtoSce.",,,2026-05-27 22:52:07
x_tweets|2059644105546694965,x_tweets,https://x.com/amasad/status/2059644105546694965,"RT @ahorne: Try DemoGuards today. 14-day free trial, no CC required for trial. https://t.co/bsesuGACkd Created on @Replit, as well as the…",,,2026-05-27 22:33:15
x_tweets|2059643802969649450,x_tweets,https://x.com/amasad/status/2059643802969649450,RT @usamasyedMD: My wife (non-technical) built a fully functional iOS/Android app in 6 weeks... and it's made $1.5k on the app store since…,,,2026-05-27 22:32:03
x_tweets|2059642264079716420,x_tweets,https://x.com/petergyang/status/2059642264079716420,Here are all 12 slide formats the skill can create. Read the written guide here: https://t.co/3m6WjoKGlx https://t.co/01haEznVNN,,https://pbs.twimg.com/media/HJVRuVZboAANNRg.jpg,2026-05-27 22:25:56
x_tweets|2059642246614647259,x_tweets,https://x.com/petergyang/status/2059642246614647259,I got tired of making PowerPoint slides so I built an AI skill to do it for me. Here's my new tutorial on how to build a /slides skill that turns a rough outline into a beautiful HTML deck in minutes. I walk through how to: → Use 12 slide formats and 3 templates → Add live charts and subtle animations → Get AI to screenshot each slide and fix layout issues itself 📌 Watch now: https://t.co/qFN6mhiQ82,,,2026-05-27 22:25:52
x_tweets|2059636924894376139,x_tweets,https://x.com/petergyang/status/2059636924894376139,"RT @mosesxu: the mvp rule made sense when humans were the execution layer: cut scope, ship fast, iterate. agents change which work is expe…",,,2026-05-27 22:04:43
verge_news|dmcyOnBvc3Q6OTM3NjI4,verge_news,https://www.theverge.com/tech/937628/coolfly-aura-smart-bird-feeder-review,This smart bird feeder captures more of my backyard drama,"The Aura by Coolfly is a more practical, less polished alternative to the popular Birdbuddy.","https://platform.theverge.com/wp-content/uploads/sites/2/2026/05/8A0A6250.jpeg?quality=90&strip=all&crop=0.0089253837914995,0,99.982149232417,100",2026-05-27 22:00:00
tmtpost_news|8004618,tmtpost_news,https://www.tmtpost.com/8004618.html,为什么科技行业越繁荣，岗位越少？,今年前5个月全球科技巨头裁员数，快要追上去年整年。,https://images.tmtpost.com/uploads/images/2026/05/20260527202109217.png,2026-05-27 21:41:18
x_tweets|2059628481797902431,x_tweets,https://x.com/danshipper/status/2059628481797902431,RT @JeffBuze: specs and benchmarks mean nothing unless you trust it to get sh*t done for you. that's why i trust Every's 'reach test' for m…,,,2026-05-27 21:31:10
x_tweets|2059628371529580897,x_tweets,https://x.com/danshipper/status/2059628371529580897,"RT @kplikethebird: How I'm using Codex to upgrade my Codex based on best practices from the @every Codex for Knowledge Work guide, step by…",,,2026-05-27 21:30:44
kr36_news|3827461417833352,kr36_news,https://36kr.com/p/3827461417833352,创业2年，干出270亿：这家机器人公司，赚麻了,踩中了钱袋子。,https://img.36krcdn.com/hsossms/20260527/v2_d608dc0361904770a3f21b362129faa6@000000@ai_oswg300032oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-27 21:00:07
kr36_news|3827328850334336,kr36_news,https://36kr.com/p/3827328850334336,双标实锤，Kimi误判老外秒解封，国内付费用户炸锅,寒了国内开发者的心。,https://img.36krcdn.com/hsossms/20260527/v2_adeec5c7e96b4b04aec5c4c0021d5b84@000000@ai_oswg348283oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-05-27 21:00:00
