id,source,url,headline,abstract,img_url,publish_time
kr36_news|3938796537183367,kr36_news,https://36kr.com/p/3938796537183367,7亿年薪留不住，余家辉离职Meta创业,真就只待了一年,https://img.36krcdn.com/hsossms/20260814/v2_c914c78d7ebf44908d69defd9ee62cdc@5091053@ai_oswg979590oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-08-14 11:28:16
x_tweets|2088105350201270529,x_tweets,https://x.com/levie/status/2088105350201270529,"The elimination of engineers was one of the wilder hypotheses out there. Just like absurdly wrong. We just gave engineers a power tool that can accelerate the development of whatever we want. Of course their value not only remains critical in that world, but actually goes up in many domains because we can apply engineering to far more work than before. If you’re trying to automate drug discovery, you need engineers. If you’re trying to automate manufacturing, you need engineers. If you’re taking on larger and larger software projects, you need engineers. This will happen in domains beyond engineering too. AI causes companies to take on way more work than before, which leads to needing more experts to oversee the work. Even as models get better and better, they can be better utilized by the experts in those fields than the novices. Great time to be an expert.",,,2026-08-14 11:28:05
pingwest_news|316436,pingwest_news,https://www.pingwest.com/a/316436,玩了一夜DeepSeek Harness，我发现它在用《我的世界》的方式干掉Claude Code,迟早“harness”会最终消失,https://cdn.pingwest.com/portal/2026/08/14/TTzN3_rFKHd6BwkPD7k44iyc8kRSZQMi.png,2026-08-14 11:17:02
pingwest_news|316387,pingwest_news,https://www.pingwest.com/a/316387,WorkBuddy 已经不止卷 office 了,Office带来的痛，WorkBuddy真正解决。,https://cdn.pingwest.com/portal/2026/08/12/Y31teY_mxE5T_a67jdsBksiDCkR00NQt.png,2026-08-14 11:16:02
kr36_news|3938743621139587,kr36_news,https://36kr.com/p/3938743621139587,AI时代，顶尖科学家正在逃离雇佣关系,AI正在重构公司与人才的关系。,https://img.36krcdn.com/hsossms/20260814/v2_e5972f5300584c4685f479db431545ed@5091053@ai_oswg880171oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-08-14 11:15:41
kr36_news|3938739303192452,kr36_news,https://36kr.com/p/3938739303192452,200万美元，全世界最贵的AI电影上线了，夯还是拉？,AI电影值不值得认真对待？,https://img.36krcdn.com/hsossms/20260814/v2_9e16545c392047eb8d2fcaf6f316dbf3@5091053@ai_oswg931203oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-08-14 11:06:31
kr36_news|3938643705380224,kr36_news,https://36kr.com/p/3938643705380224,让 AI 替人写代码这件事，人类已经尝试了 70 年,要理解 AI 编程的“今天”和“明天”，我们必须了解它的“昨天”。,https://img.36krcdn.com/hsossms/20260814/v2_9a1896f53de84438942a04ca387d9b2f@5091053@ai_oswg994181oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-08-14 11:06:01
kr36_news|3938759517896072,kr36_news,https://36kr.com/p/3938759517896072,刚刚，小红书开源dots3-note，IMO 42分满分同系列模型来了,AI能做奥数，还要学会「过日子」。,https://img.36krcdn.com/hsossms/20260814/v2_5f8215ce686c48839af2d71be830a8ba@000000@ai_oswg298159oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-08-14 11:05:32
tmtpost_news|8103074,tmtpost_news,https://www.tmtpost.com/8103074.html,“美国版豆包手机”，弱爆了,多数功能是追赶而非引领。,https://images.tmtpost.com/uploads/images/2026/08/20260814101456295.png,2026-08-14 10:51:00
pingwest_news|316437,pingwest_news,https://www.pingwest.com/w/316437,OpenAI推出ChatGPT Computer History功能,据 9to5Mac 报道，OpenAI推出Computer History功能，替代Chronicle研究预览版。该功能通过macOS辅助功能接口记录用户在选定应用和网站中的点击、输入、快捷键及应用切换等操作事件，构建可搜索的操作时间线。,https://cdn.pingwest.com/portal/2026/08/14/k2wsKM6Ce1m7i2X17n3TEWc77P1NKdcA.jpg,2026-08-14 10:38:39
