id,source,url,headline,abstract,img_url,publish_time
kr36_news|3954875967913090,kr36_news,https://36kr.com/p/3954875967913090,小鹏机器人，站在了C位,不昂贵，但也有泡沫,https://img.36krcdn.com/hsossms/20260825/v2_c318a06100e8443d8d9f23507e331065@000000@ai_oswg268259oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-08-25 21:00:25
kr36_news|3954873173163392,kr36_news,https://36kr.com/p/3954873173163392,一个Token是怎么“造”出来的？黄仁勋的“五层蛋糕”理论给出答案,当智力服务开始被计量、被调用、被定价，AI真正进入的就不只是聊天框，而是一套新的工业秩序,https://img.36krcdn.com/hsossms/20260825/v2_feee1e0911954338ad3506134fe954bb@46958@ai_oswg704760oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-08-25 20:58:29
kr36_news|3954872630951303,kr36_news,https://36kr.com/p/3954872630951303,冲刺“全球视频大模型第一股”，每经独家透视可灵AI：客户都在哪？运营状况如何？,欲12个月内冲刺港股？“快手系”今年以来资本运作频繁。,https://img.36krcdn.com/hsossms/20260825/v2_4d70761952cf4526acc0c00dd19f7623@46958@ai_oswg750725oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-08-25 20:54:05
kr36_news|3954865897979016,kr36_news,https://36kr.com/p/3954865897979016,估值暴涨570亿，三个80后干出AI独角兽：突然卖身,全球最大的开源AI社区正在寻找买家。,https://img.36krcdn.com/hsossms/20260825/v2_0a2c90ee75a84c8ba0d3c1395ed69e28@000000@ai_oswg247621oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-08-25 20:45:48
x_tweets|2092229538944319634,x_tweets,https://x.com/garrytan/status/2092229538944319634,"RT @CharlesFLehman: ""We got a murderer behind bars because of this. We got this guy off the streets because of the Flock system,"" Indian Ri…",,,2026-08-25 20:36:08
kr36_news|3954858249452673,kr36_news,https://36kr.com/p/3954858249452673,大批博主停更上热搜，靠AI搞钱已经越来越难,进入比拼“真功夫”阶段，大量从众者自然就会选择退出。,https://img.36krcdn.com/hsossms/20260825/v2_df735b33aa3c4a41b2830fb3f364cf45@000000@ai_oswg299243oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-08-25 20:30:05
kr36_news|3954850431302786,kr36_news,https://36kr.com/p/3954850431302786,Ilya交卷，黄仁勋砸50亿押注SSI，首个模型疑本周发布,Ilya的SSI将发测试时训练新模型，或颠覆预训练时代,https://img.36krcdn.com/hsossms/20260825/v2_513a14adfe2940589ca45647a31b7000@46958@ai_oswg701535oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-08-25 20:28:39
kr36_news|3954806530440580,kr36_news,https://36kr.com/p/3954806530440580,叛变，OpenAI亲儿子竟然选了Kimi K3,OpenAI投的Harvey用中国K3训出自研法律AI,https://img.36krcdn.com/hsossms/20260825/v2_18ed2e6bec614acd998b688b9c79c0b9@46958@ai_oswg780395oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-08-25 20:14:59
x_tweets|2092221730643439760,x_tweets,https://x.com/rauchg/status/2092221730643439760,"We’ve seen ISPs and telcos unjustly censor domains and even entire TLDs. A big carrier recently deemed the entire .𝚝𝚘𝚘𝚕𝚜 gTLD is “sus” so they broke every TLS handshake, and thus, all websites on it. Vercel now has another tool in fighting these blocks: SNI encryption.",,,2026-08-25 20:05:06
kr36_news|3954741122193284,kr36_news,https://36kr.com/p/3954741122193284,宇树科技最低跌破600元，上市5天缩水超2000亿,“市梦率”跌回现实，王兴兴始终保持克制。,https://img.36krcdn.com/hsossms/20260825/v2_4c2d149f5cbc416ab276b17b9b055659@46958@ai_oswg780978oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-08-25 20:01:06
