id,source,url,headline,abstract,img_url,publish_time
x_tweets|2066036778713362747,x_tweets,https://x.com/zarazhangrui/status/2066036778713362747,Great essay on taste and how to cultivate it Taste is not just personal preference; good taste requires mastery and experience,,,2026-06-14 13:55:27
x_tweets|2066034464120345075,x_tweets,https://x.com/petergyang/status/2066034464120345075,YOLO,,,2026-06-14 13:46:15
x_tweets|2066025675694174388,x_tweets,https://x.com/sama/status/2066025675694174388,RT @redrummarts: Everytime my town tried implementing it there were protests. Had walk outs and letter writing campaigns and shit too,,,2026-06-14 13:11:20
tmtpost_news|8027129,tmtpost_news,https://www.tmtpost.com/8027129.html,【数智周报】 钉钉换帅，92年技术极客陈宇森接任钉钉CEO；OpenAI向美国证监会秘密提交IPO的S-1草案；苹果、谷歌、英伟达合作开发新一代AI模型；Anthropic发布Mythos系列新模型,（6月8日~6月13日）微信宣布面向开发者提供接入微信AI生态的能力；Kimi估值飙升至300亿美元，半年猛增6倍,https://images.tmtpost.com/uploads/images/2026/06/20260614103900727.png,2026-06-14 12:59:50
x_tweets|2066018903877128596,x_tweets,https://x.com/sama/status/2066018903877128596,"RT @wittlett: the two right wing ""solutions"" to this are a) slavery b) deportations and total population collapse, retirees rotting in the…",,,2026-06-14 12:44:26
x_tweets|2066017776397942847,x_tweets,https://x.com/sama/status/2066017776397942847,RT @MadocCairns: Alternatively (though I know it's unfashionable) one might consider that the Pope of Rome understands the Catholic faith b…,,,2026-06-14 12:39:57
x_tweets|2066010360419614970,x_tweets,https://x.com/sama/status/2066010360419614970,RT @GENIC0N: there was a long time period where cannibalism was socially acceptable and a lot of what we view as normal human behavior is s…,,,2026-06-14 12:10:29
kr36_news|3852485841156997,kr36_news,https://36kr.com/p/3852485841156997,华人AI工程师也搭上了SpaceX的财富火箭,从多模态到代码智能体，xAI里的华人AI工程师也被装进了SpaceX上市故事。,"https://img.36krcdn.com/hsossms/20260614/v2_d0fe04f91faa4b719ab2a408efa7a671@000000_oswg121941oswg940oswg399_img_000?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",2026-06-14 12:04:06
x_tweets|2065998839467933862,x_tweets,https://x.com/steipete/status/2065998839467933862,This shortage of chips is getting out of hand.,,,2026-06-14 11:24:42
x_tweets|2065998694877626387,x_tweets,https://x.com/steipete/status/2065998694877626387,RT @OmarShahine: Add this shortcut to your iOS Home Screen so you can search for Codex. And use this icon https://t.co/0KYbHfKr6u https://…,,,2026-06-14 11:24:07
tmtpost_news|8025236,tmtpost_news,https://www.tmtpost.com/8025236.html,这个开源项目把 ChatGPT 搬进本地电脑，每月省下上百美元,GitHub 账号 pewdiepie-archdaemon 开源了自托管 AI 工作台 Odysseus——外界普遍将其与坐拥超 1 亿粉丝的 YouTuber PewDiePie 关联。上线一周 Star 数突破六万五，把 ChatGPT 级别的能力完整搬进你的本地电脑——数据不出门，模型随便换，订阅费全免。,https://images.tmtpost.com/uploads/images/2026/06/d141d6172d43b9f066354c57a2ceb8f2_1781407839.png,2026-06-14 11:24:00
x_tweets|2065997212015067508,x_tweets,https://x.com/steipete/status/2065997212015067508,"Got a PayPal verification text and thought I been hacked, but it was just codex signing up for a web service it needed.",,,2026-06-14 11:18:14
kr36_news|3852376401220868,kr36_news,https://36kr.com/p/3852376401220868,大反转！Anthropic CEO拒修漏洞才被封，举报Claude新模型是自家大股东,Claude开启退款，金额按剩余时长折算。,https://img.36krcdn.com/hsossms/20260614/v2_75479a49974e46cdacb27c111c2f58be@000000@ai_oswg25480oswg900oswg382_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-06-14 11:08:36
wscn_news|3774605,wscn_news,https://wallstreetcn.com/articles/3774605,"谷歌DeepMind重磅报告：从AGI到ASI,世界可能进入""连续爆炸""时代","谷歌DeepMind联合创始人Shane Legg携理论大牛发布重磅报告，直接跳过""AGI能否实现""之争，直指更深远命题：AGI一旦诞生，AI将如何一路进化至超越数万名顶级专家的超级智能ASI？四条技术路径、六大致命瓶颈、智能爆炸临界点……这份报告或许正在描绘人类文明最后的拐点。",https://wpimg-wscn.awtmt.com/content_default_8.jpg,2026-06-14 11:01:54
x_tweets|2065991831192814025,x_tweets,https://x.com/garrytan/status/2065991831192814025,RT @megbear: Sense making right now requires getting close to the work and being close to the tech. https://t.co/G7rPxTuCtC,,https://pbs.twimg.com/media/HKvY-0raIAAjMFr.jpg,2026-06-14 10:56:51
x_tweets|2065990670184247341,x_tweets,https://x.com/adityaag/status/2065990670184247341,I have been thinking about this photo a lot. It's a beautiful testament to human civilization and our ability to reach for the stars. But the thing that I can't get over is that a *human being* took this photo. From a tin cylinder flying on the other side of the moon. A machine could have taken it and it would have still been cool. But man was there. And that makes it so much more evocative.,,https://pbs.twimg.com/media/HKvfkBEaQAAxKCM.jpg,2026-06-14 10:52:14
x_tweets|2065989559905812973,x_tweets,https://x.com/levie/status/2065989559905812973,"The layer that can route to the best AI model for the particular job is going to increase in value substantially. There are at least 3 big reasons: * Cost optimization: there are plenty of use cases where you need frontier intelligence for some tasks and something far cheaper for others. Even in the same task you may use frontier intelligence for planning and review of the work, but an OSS or cheaper model for the bulk of the workload. This is going to be standard across large buckets of work going forward. * Capability maximization: despite the bitter lesson and models generally getting better in the same direction, there are still lots of differences between models. Some are better at tool use, others better at coding, and others again better at certain domains of knowledge work. The ability to route between these at different times is a huge advantage. * Risk mitigation: while the Fable situation is somewhat of a black swan, it’s possible we’re heading toward a regulatory environment where governments may restrict models at different times based on their approval mechanisms or new things they discover. This means you’re going to want flexibility in being able to deploy workloads across different providers as a form of risk mitigation. Ultimately, it’s going to increasingly be a a strategic advantage for the applied AI layer that they can effectively route between models. Will be very interesting to see how this evolves.",,,2026-06-14 10:47:49
x_tweets|2065983185268412431,x_tweets,https://x.com/garrytan/status/2065983185268412431,RT @UlrichFY: Cette vidéo est un véritable cauchemar éveillé pour l'écologiste décroissant. Un robot qui traque la nuit les pathogènes et…,,,2026-06-14 10:22:30
x_tweets|2065983151399211169,x_tweets,https://x.com/sama/status/2065983151399211169,"RT @EricRichards22: One of the things that most undermines ""the rules must be followed impartially for society to work"" is that there are s…",,,2026-06-14 10:22:22
x_tweets|2065982745575342448,x_tweets,https://x.com/petergyang/status/2065982745575342448,"RT @petergyang: He doesn't have a CS degree, doesn't read code, and doesn't even look at AI's plans most of the time. Yet @mvanhorn has bu…",,,2026-06-14 10:20:45
wscn_news|3774601,wscn_news,https://wallstreetcn.com/articles/3774601,"“告诉他他就是个XXX”！直播会议现场失控，Meta内部爆发""AI叛乱""",在一场数千名员工参与的直播会议上，一名Meta员工以粗口打断演讲，直指某位AI高管。Applied AI部门约6500名工程师被强制调岗，工作内容从产品开发降级为生成测试任务。每位管理者平均管理约50名员工，导致员工缺乏支持、晋升无望、难被管理层看见，积压的不满集中爆发。CEO扎克伯格承认“犯了错误”，承诺调整管理架构以稳定人心。,https://wpimg-wscn.awtmt.com/a2b2320e-38d0-41ca-8327-a6a9ed5d9878.png,2026-06-14 10:16:28
x_tweets|2065975981039649058,x_tweets,https://x.com/danshipper/status/2065975981039649058,dario at the wellness retreat when they told him hegseth was on the phone https://t.co/UgwQA8h7fg,,https://pbs.twimg.com/media/HKvR-BDacAAvAce.png,2026-06-14 09:53:52
x_tweets|2065974941812470093,x_tweets,https://x.com/sama/status/2065974941812470093,"RT @RWBB4U: Obligatory repeated story of my old man, who read The Radetzky March and decided he wanted to try Hennessy; he was baffled to d…",,,2026-06-14 09:49:44
github_trending|swc-project/swc,github_trending,https://github.com/swc-project/swc,swc-project/swc,"Rust-based platform for the Web Make the web (development) faster. SWC (stands for Speedy Web Compiler) is a super-fast TypeScript / JavaScript compiler written in Rust. It's a library for Rust and JavaScript at the same time. If you are using SWC from Rust, see rustdoc and for most users, your entry point for using the library will be parser. Also, SWC tries to ensure that If you select the latest version of each crates, it will work for rust users. MSRV of crates is currently 1.73. To update all SWC crates you use, you can run curl https://raw.githubusercontent.com/swc-project/swc/main/scripts/update-all-swc-crates.sh | bash -s. This script will update all dependencies to the latest version and run cargo build to ensure that everything works. Note that you need jq cargo upgrade command to run the script. Supported Node Versions: Node v10+ for usage Node v20+ for development If you are using SWC from JavaScript, please refer to docs on the website. Documentation Check out the documentation in the website. Features Please see comparison with babel. Performance Please see benchmark results on the website. Supporting development Supporting swc Star History Powered by Sponsors SWC is a community-driven project, and is maintained by a group...",https://opengraph.githubassets.com/9322367fa15d6f5aadf2ea76d6d55523013c7bed6735c3c2d9926fe9cbeaa9f4/swc-project/swc,2026-06-14 09:45:55
github_trending|andrewyng/aisuite,github_trending,https://github.com/andrewyng/aisuite,andrewyng/aisuite,"Simple, unified interface to multiple Generative AI providers OpenCoworker An AI agent that lives on your desktop, built on aisuite. OpenCoworker is a desktop AI agent that can not only chat, but also do deep research and carry out tasks for you on your computer. It can read files (with permission) to gain context, read/send messages (slack, email, etc.), and create real deliverables like PDF reports, documents, spreadsheets. It also supports scheduled automations, such as providing you a daily news summary. Requires bringing your own API key (OpenAI, Anthropic, Google) or run fully local with Ollama. Your data stays on your machine. ⬇ Download for macOS &nbsp;&nbsp;macOS 13+ (Apple Silicon) &nbsp;&nbsp; ⬇ Download for Windows &nbsp;&nbsp;Windows 10/11 (x64) &nbsp;·&nbsp; Quickstart: — install, connect a model, first tasks, automations. Its source lives in this repository under platform/ — a working reference for building your own agent harness on aisuite. aisuite aisuite is a lightweight Python library for building with LLMs, in two layers: a unified Chat Completions API across providers, and an Agents API with tools and toolkits on top. This repo is also home to OpenCoworker, a desktop AI coworker built using aisuite: ┌───────────────────────────────────────────────┐ │ OpenCoworker │ agent harness for...",https://opengraph.githubassets.com/444c7b62f99ac666306b3015b3830abe89a0a7d57ded92c4fe0d0f57e036eafe/andrewyng/aisuite,2026-06-14 09:45:55
x_tweets|2065973599119536181,x_tweets,https://x.com/petergyang/status/2065973599119536181,"We need more amazing martial arts movies (and I need 10% of my feed to be about martial arts, anime, and games 😅). Go watch The Furious it's amazing.",,,2026-06-14 09:44:24
kr36_news|3852349905900544,kr36_news,https://36kr.com/p/3852349905900544,谷歌官宣3万字路线图：1亿人类水平的AI就是ASI！,【新智元导读】1000个实例每年翻10倍，五年后就是一亿个AI！谷歌DeepMind推演：一亿个共享大脑、思考快百倍的AI，本身就是ASI。但前路还有六道「叹息之墙」。,"https://img.36krcdn.com/hsossms/20260614/v2_f16aa54d6b2d4368bb6631f139770cf5@000000_oswg105977oswg1080oswg459_img_000?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",2026-06-14 09:34:33
kr36_news|3851572421432324,kr36_news,https://36kr.com/p/3851572421432324,高瓴出手了一家消费级柔性机器人公司，要把“大白”从电影搬进现实家庭｜硬氪首发,从睡眠伴侣、卧室情绪管家延伸到覆盖全屋的关护中枢。,"https://img.36krcdn.com/hsossms/20260613/v2_d97f26b6281c447b8ad8ac47c321d925@6022551_oswg117899oswg1053oswg495_img_jpg?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",2026-06-14 09:30:00
wscn_news|3774600,wscn_news,https://wallstreetcn.com/articles/3774600,Anthropic全球下架Mythos和Fable模型的“幕后推手”：“主要股东”亚马逊CEO,亚马逊作为Anthropic的主要投资者之一，其CEO近日致电美国政府，报告了模型存在的安全隐患。尽管Anthropic在发布前多次通知政府并紧急谈判，美方仍以安全为由实施出口管制，暂停境外访问并全球下架。该事件凸显了美国对前沿AI安全的高度焦虑，以及商业利益与国家安全交织下监管力度的持续升级。,https://wpimg-wscn.awtmt.com/945de108-5cce-4e93-922d-a96746895e24.png,2026-06-14 09:28:48
tmtpost_news|8027027,tmtpost_news,https://www.tmtpost.com/8027027.html,智源大会最清醒的一句话：大模型的下一场仗，不在屏幕里打了,智源大会最清醒的一句话：大模型的下一场仗，不在屏幕里打了,https://images.tmtpost.com/uploads/images/2026/06/974805318b86066ecefd306b37a5d6d2_1781399952.png,2026-06-14 09:25:13
wscn_news|3774492,wscn_news,https://wallstreetcn.com/articles/3774492,下周“超级央行周”：美联储利率决议沃什首秀、日本央行或加息、中国5月经济数据,下周美联储公布利率决议、沃什首秀，市场关注其是否会取消点阵图；市场对日本央行加息预期高达88%，行长植田和男因病缺席会议。英国、澳大利亚等多国央行同步公布利率决议。中国5月社零、工业、房价等数据出炉。此外，G7峰会法国开幕、陆家嘴论坛、OpenAI CEO访韩、燧原科技上会、亚马逊发射任务等事件密集上演。,https://wpimg-wscn.awtmt.com/5ef5f0f5-2ef1-4ebd-a68a-b11253d319f3.jpeg,2026-06-14 09:09:40
x_tweets|2065964446489710939,x_tweets,https://x.com/levie/status/2065964446489710939,"Everyone thinks this is some kind of 4D chess or conspiracy. But it’s quite standard to try and jailbreak AI models, and by definition they would share that research with the government given that’s whole point. I don’t think Amazon assumed this would be the next move.",,,2026-06-14 09:08:02
x_tweets|2065953400395555255,x_tweets,https://x.com/thenanyu/status/2065953400395555255,"Imagine a piece of software so powerful it completely disables the operations of tech companies, freezing progress and rendering them worthless. Such damaging capabilities must be controlled and stopped. Import restrictions on Jira. Now.",,,2026-06-14 08:24:08
tmtpost_news|8027061,tmtpost_news,https://www.tmtpost.com/8027061.html,Edge AI Daily 早报（6月14日）,Anthropic发布Claude Fable 5在FrontierMath基准测试中领先GPT-5.5 13个百分点，同时美国政府以国家安全为由要求禁用该模型及Mythos 5，引发全球AI监管先例争议。SpaceX完成历史性IPO，市值达2.11万亿美元，马斯克成为全球首位万亿富豪，同步发布AI1卫星开启太空算力新阶段。,https://images.tmtpost.com/uploads/images/2026/04/20260413171403305.png,2026-06-14 08:19:00
x_tweets|2065948194723520709,x_tweets,https://x.com/adityaag/status/2065948194723520709,Watching Brazil play Morocco at 30K feet using Starlink is a visceral reminder of SpaceX.,,,2026-06-14 08:03:27
x_tweets|2065940661866807297,x_tweets,https://x.com/steipete/status/2065940661866807297,RT @jxnlco: @steipete https://t.co/U8qly7LNWs,,,2026-06-14 07:33:31
