id,source,url,headline,abstract,img_url,publish_time
qbitai_news|469869,qbitai_news,https://www.qbitai.com/2026/08/469869.html,当AI开始“自作主张”，谁来为智能体戴上“项圈”？全球AI安全实战化大考，中国方案打入前三,全球AI安全实战化测评，中国方案DoGNAVY位列前三,https://www.qbitai.com/wp-content/uploads/2026/08/e54d58079afc21b9bd96cd220ee3c7a3.jpeg,2026-08-11 11:11:12
tmtpost_news|8098474,tmtpost_news,https://www.tmtpost.com/8098474.html,豆包多收 4% 佣金：AI 流量贵在哪？,字节开始收租，阿里还在招商。,https://images.tmtpost.com/uploads/images/2026/08/bc35a09350bf1a9ce9f7ecccf3e82b64_1786417217.png,2026-08-11 11:03:32
kr36_news|3934449071406212,kr36_news,https://36kr.com/p/3934449071406212,蚂蚁集团，领投一个稀缺具身团队,打造全球首个触觉驱动的物理交互脑。,https://img.36krcdn.com/hsossms/20260811/v2_4a377399d54d43bc95c713ac0078a021@5091053@ai_oswg931553oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-08-11 11:00:45
kr36_news|3934469728107654,kr36_news,https://36kr.com/p/3934469728107654,大疆错失宇树：一笔没打出去的1000万，如今值37亿,37亿元只是一个容易传播的数字。真正值得回看的，是2018年那个尚未被命名为“具身智能”的时刻：一家中国最强的硬件公司，曾经与下一代机器人平台，只隔着一笔没有打出去的1000万元。,https://img.36krcdn.com/hsossms/20260811/v2_cbb328f64b2f43908c1bd7c93a4c18e4@5091053@ai_oswg979393oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-08-11 10:57:37
x_tweets|2087009941806797206,x_tweets,https://x.com/levie/status/2087009941806797206,"If you told someone 3 months ago that a model released by a US company with frontier-class capability would be available as open weights they wouldn’t believe it. This is very important because it opens up AI adoption in a range of scenarios that weren’t viable before. Models can be deployed on prem or in the cloud on private infra, which means use-cases in highly regulated domains can be opened up. You can also now post-train a frontier class model on specific vertical use-cases that need extra levels of performance for their tasks, like in legal, healthcare, and other spaces. You also ensure sovereignty in case any models ever get pulled from the marketplace, which gives users more confidence in deploying in certain mission critical areas. All of this is great news for the applied AI layer, because this is where you can route work to different model families based on the task at hand. Great time to building at the harness layer given the options available now. And closed frontier models will still be heavily used both due to simplicity and because you tend to need a mix of capability level for any hard problem, but having open weights in the mix helps defray costs and provides more flexibility. Great news all around.",,,2026-08-11 10:55:19
x_tweets|2087006450887610371,x_tweets,https://x.com/steipete/status/2087006450887610371,RT @LyalinDotCom: What a great talk by @steipete. I won’t spoil it for you. A must watch for all builders. https://t.co/YKiBatg9tA,,,2026-08-11 10:41:27
x_tweets|2087006417509405084,x_tweets,https://x.com/steipete/status/2087006417509405084,Funny how that headline is about OpenClaw and not Claude. As if the harness could meaningfully prevent a determined user.,,,2026-08-11 10:41:19
x_tweets|2087006274445816023,x_tweets,https://x.com/petergyang/status/2087006274445816023,RT @petergyang: My 5 biggest takeaways from @thenanyu and @delashum from @Linear on how to build a great production agent end to end: 1. T…,,,2026-08-11 10:40:45
wscn_news|3779134,wscn_news,https://wallstreetcn.com/articles/3779134,NPO--CPO到来之前的“过渡方案”，国产算力的新战场？,近封装光学（NPO）作为可插拔模块与CPO之间的中间方案，凭借现场可更换、故障范围可控、制造良率较高三大优势，正在国内超节点建设加速背景下迎来产业化窗口。东北证券认为，国内厂商在硅光、精密耦合等领域积累可直接迁移，并重点推荐光引擎、高密度光连接、FAU、光源材料、先进封装及国产算力芯片六大投资方向。,https://wpimg-wscn.awtmt.com/289bcb7d-a850-49d3-aec1-1ca5ef72dfcb.jpeg,2026-08-11 10:28:20
pingwest_news|316333,pingwest_news,https://www.pingwest.com/w/316333,七夕送什么才能既显心意又不落俗套？华为nova 16解锁高段位浪漫,,https://cdn.pingwest.com/portal/2026/08/11/portal/2026/08/11/CStZ4Nr5PJ1sPE8Z728RSHdfK2k8mEz7,2026-08-11 10:27:45
pingwest_news|316332,pingwest_news,https://www.pingwest.com/w/316332,Microsoft计划明年量产下一代AI芯片Maia 300,据The Information报道，Microsoft正计划最早于今年9月公开其下一代自研AI加速器Maia 300，并已与TSMC洽谈超过30万颗芯片的生产订单，预计2027年交付，长期目标是在供应链配合下实现超百万颗产能。,https://cdn.pingwest.com/portal/2026/08/11/xcFds5nWM113Skw6a8CbcK814X1a10Tp.png,2026-08-11 10:27:03
x_tweets|2087002635731935390,x_tweets,https://x.com/amasad/status/2087002635731935390,"RT @amasad: The spontaneous coordination in the OpenAI-HuggingFace incident is concerning when maliciously used, but can we direct this beh…",,,2026-08-11 10:26:17
wscn_news|3779142,wscn_news,https://wallstreetcn.com/articles/3779142,巨头竞购OpenRouter，AI“路由层”走红,据报道，Stripe拟以百亿美元收购AI路由初创公司OpenRouter，引发Snowflake、Cloudflare等巨头竞相接触路由赛道。AI路由技术可在不同模型间智能调度任务，大幅压缩成本，因AI智能体爆发式增长及开源模型成熟而走红。众多初创公司两周内收到大量投资收购邀约。,https://wpimg-wscn.awtmt.com/d0b656cf-a51e-4cb0-bf15-a4d4a768b2d7.png,2026-08-11 10:24:23
wscn_news|3779135,wscn_news,https://wallstreetcn.com/member/articles/3779135,MLCC持续涨价：一枝独秀还是重蹈存储的覆辙？,这一轮MLCC行情，是2017年的复刻，还是存储史诗级牛市的镜像？,https://wpimg-wscn.awtmt.com/150baab5-4938-45b8-b972-404ec450e89c.jpeg,2026-08-11 10:24:00
wscn_news|3779140,wscn_news,https://wallstreetcn.com/articles/3779140,3个月狂砸600亿美元！Anthropic再签91亿算力大单，与比特币矿企Riot达成长约,"Anthropic斥资91亿美元与比特币矿企Riot Platforms签署20年算力长约，供应191兆瓦算力，若行使延期选项总价值最高达161亿美元。这是Anthropic近月连签的第三笔巨额算力协议，三笔合计规模已超600亿美元。消息公布后，Riot股价盘后暴涨25%，其""挖矿转AI""的估值逻辑获市场强烈认可。",https://wpimg-wscn.awtmt.com/223676c8-0ba9-4c94-a21a-038a8a7941bc.jpeg,2026-08-11 10:23:22
pingwest_news|316331,pingwest_news,https://www.pingwest.com/w/316331,Meta发布开源模型Muse Glimmer 支持消费级硬件本地运行,据 venturebeat 报道，Meta近日发布300亿参数开源模型Muse Glimmer，支持在消费级Mac和PC上本地运行自主AI智能体，将原本依赖云端基础设施的工作负载下沉至终端设备。模型权重已在Hugging Face上线。,https://cdn.pingwest.com/portal/2026/08/11/yatGtEib5SGB8X3E_B43tBi1FM5QKssG.jpeg,2026-08-11 10:14:58
