id,source,url,headline,abstract,img_url,publish_time
tmtpost_news|7959992,tmtpost_news,https://www.tmtpost.com/7959992.html,AI 芯片格局生变：Cerebras 再迎IPO大考，英伟达真正的对手来了｜IPO观察,2023年和2024年，中东客户G42分别贡献了Cerebras 83%和87%的营收。,https://images.tmtpost.com/uploads/images/2026/04/20260420165849527.png,2026-04-20 17:17:34
kr36_news|3774648797659657,kr36_news,https://36kr.com/p/3774648797659657,如何正确Vibe Coding？这是来自Anthropic编程智能体负责人的大师课,必须了解的 Vibe Coding方法论和实用技巧,https://img.36krcdn.com/hsossms/20260420/v2_03f18d18e92149788187bdad5aa88e6e@000000@ai_oswg341667oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-04-20 17:17:19
pingwest_news|313068,pingwest_news,https://www.pingwest.com/w/313068,智能手表里藏耳机？华为 WATCH Buds 2多重体验，商务人士新装备,,https://cdn.pingwest.com/portal/2026/04/20/portal/2026/04/20/4KkpH8Se46Yj4pQE1142mb6KSCmWJ39F,2026-04-20 17:15:50
kr36_news|3774555927950089,kr36_news,https://36kr.com/p/3774555927950089,Figma惨遭Claude Design背刺说起，看透“硅基复利”的残酷三层模型,探寻AI时代硅基复利的投资逻辑,https://img.36krcdn.com/hsossms/20260420/v2_cff1e9e33d7f4f519ccd113cab77c5cb@5888275@ai_oswg961152oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-04-20 17:15:47
pingwest_news|313053,pingwest_news,https://www.pingwest.com/a/313053,摆脱经验依赖 玻尔·跃迁实验室补全干湿闭环最后一公里,,https://cdn.pingwest.com/portal/2026/04/20/5y6J2QX4KrjW6Ak4xSRJQ_6761QC6ndT.jpg,2026-04-20 17:12:21
kr36_news|3774536667837189,kr36_news,https://36kr.com/p/3774536667837189,AI PC线下市场观察：「龙虾热」散去，可曾留下痕迹？,线下市场的迷你主机，「龙虾热」也带不动。,https://img.36krcdn.com/hsossms/20260420/v2_cef63879c8a8447d97eb6f16d1cdd673@5888275@ai_oswg886655oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-04-20 17:10:09
pingwest_news|313067,pingwest_news,https://www.pingwest.com/w/313067,华为WATCH FIT 5系列发布，更适合学生党的高颜值智能手表,,https://cdn.pingwest.com/portal/2026/04/20/portal/2026/04/20/76jjank9aJ6_JzRpeAGH612TRXhH6w9x,2026-04-20 17:10:08
wscn_news|3770390,wscn_news,https://wallstreetcn.com/articles/3770390,华为首款鸿蒙AI眼镜亮相，Pura 90手机售价4699元起，余承东：手机成本上涨很多，可能涨价！,华为发布Pura90系列及首款大阔折手机Pura X Max。Pura90系列售价4699元起，搭载鸿蒙6.1及麒麟芯片；Pura X Max售价10999元起。余承东坦言，因成本上涨导致定价压力大，后期手机可能涨价。华为首款鸿蒙AI眼镜亦正式亮相。该产品搭载1200万像素超感光摄像头，支持AI构图矫正，具备0.7秒超清AI闪拍功能。,https://wpimg-wscn.awtmt.com/4e02eefc-47b0-4453-9c19-a959614b6ee0.png,2026-04-20 17:06:46
qbitai_news|403733,qbitai_news,https://www.qbitai.com/2026/04/403733.html,阿里发布Wan2.7-Image，人类偏好盲测评分国内第一,实现 &#8221; 千人千面 &#8220;,https://www.qbitai.com/wp-content/uploads/2026/04/564d2805e67cf54ded7ba8980b73eb8c.png,2026-04-20 16:59:05
pingwest_news|313052,pingwest_news,https://www.pingwest.com/a/313052,CDIE2026 圆满收官 以AI生产力落地书写数字化转型新答卷,,https://cdn.pingwest.com/portal/2026/04/20/E_J6D66yj2Ra7nM6D6n_8nztKhZFwD_r.png,2026-04-20 16:52:49
pingwest_news|313059,pingwest_news,https://www.pingwest.com/a/313059,Agent正杀入软件研发一线！全球超60位技术专家拆解AI落地困局，2026奇点智能技术大会收官,,https://cdn.pingwest.com/portal/2026/04/20/b8_nEXCCGrrpan7cKTb73HNiWJ7yfyX6.png,2026-04-20 16:51:39
qbitai_news|403729,qbitai_news,https://www.qbitai.com/2026/04/403729.html,国内三大头部AI 工具平台上架支付宝支付集成Skill，助“好想法”轻松“收到钱”,“小白”开发者也能快速接入支付,https://www.qbitai.com/wp-content/uploads/2026/04/95a429380186839618f100316b8ae7f0.png,2026-04-20 16:40:22
wscn_news|3770383,wscn_news,https://wallstreetcn.com/member/articles/3770383,铲子股的铲子股：1.6T元年的“工业母机”，AI光互联的“卖铲人”,当市场将目光聚焦于光模块厂商的业绩爆发时，一个更深层次的产业趋势正在悄然成形——AI算力竞赛的胜负手，正从“芯片算力”向“互联带宽”转移，而光互联能力的核心瓶颈已从“器件设计”转向“高精度组装与测试系统”。2026年全球光模块封测设备市场规模预计将突破100亿元人民币，800G/1.6T高速光模块扩产对设备精度的指数级要求，正在从根本上重构光模块产业链的价值分布,https://wpimg-wscn.awtmt.com/ab06bca1-5a73-4402-9399-5ff5bf319eb6.png,2026-04-20 16:36:02
kr36_news|3774802407654147,kr36_news,https://36kr.com/p/3774802407654147,再等等梁文锋,再等等梁文锋,https://img.36krcdn.com/hsossms/20260420/v2_290e85fdc5644664a5bc49ef98b37e11@000000@ai_oswg220456oswg1536oswg722_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-04-20 16:30:02
pingwest_news|313063,pingwest_news,https://www.pingwest.com/w/313063,华为Pura X上新：型格紫型格橙双色齐发，更有16GB+512GB配置,在4月20日召开的华为Pura系列及全场景新品发布会上，去年折叠屏赛道的现象级爆款——华为Pura X，再次迎来重磅“进化”。,https://cdn.pingwest.com/portal/2026/04/20/portal/2026/04/20/7K8EW8xKD45172Ji67KFZNsJ783cWkPF,2026-04-20 16:27:21
pingwest_news|313062,pingwest_news,https://www.pingwest.com/w/313062,通义实验室推出Fun-ASR 1.5，实现方言与古诗词工业级语音识别,据阿里通义实验室官方消息，通义实验室正式发布语音识别大模型Fun-ASR 1.5，标志着语音技术在多方言与多文化理解领域取得重大突破。,https://cdn.pingwest.com/portal/2026/04/20/7N3xdkWS0eaaG19EWj2PTj7282KRbED7.png,2026-04-20 16:20:37
wscn_news|3770395,wscn_news,https://wallstreetcn.com/articles/3770395,暴涨650%，全球爆单，光纤本轮牛市有何不同？,国盛证券认为，本轮光纤暴涨的本质是全球“供需重构”，与以往有三大不同：1、需求重构：AI数据中心与军用无人机（高频消耗品）带来不可延后的强劲增量。2、供给锁死：上游光棒扩产需18-24个月，构筑产能绝对硬约束。3、全球共振：从国内单一驱动转向全球需求共振。供需缺口致使向卖方市场转变，头部企业将迎巨大净利润弹性。,https://wpimg-wscn.awtmt.com/e1460b20-e175-42c7-a1cc-1c2cbf316149.png,2026-04-20 16:14:46
pingwest_news|313061,pingwest_news,https://www.pingwest.com/w/313061,Moonshot AI与清华联合推出PrfaaS架构，大模型推理吞吐量提升54%,据 marktechpost 报道，Moonshot AI与清华大学研究团队联合发布Prefill-as-a-Service（PrfaaS）架构，突破大模型推理的硬件部署限制。,https://cdn.pingwest.com/portal/2026/04/20/Skh30T6TRGxb7Dcr6kd4tpwkKMX8NFCm.png,2026-04-20 16:06:30
qbitai_news|403708,qbitai_news,https://www.qbitai.com/2026/04/403708.html,Mythos架构被22岁小伙“逆推”开源了！MoE和注意力借鉴DeepSeek,整合了公开研究和目前对Claude Mythos架构的主流推测,https://www.qbitai.com/wp-content/uploads/2026/04/24912094910db17e31fe66dea0739713.webp,2026-04-20 15:59:51
kr36_news|3774733205275394,kr36_news,https://36kr.com/p/3774733205275394,Anthropic暴力封杀，60人Claude一夜断供，网友：千万别豪赌一个AI,60多个Claude账号一夜之间被集体「拔插头」！没有预警，申诉无门，整个公司业务瞬间瘫痪。这场席卷开发者圈的「封号风暴」，撕开了Anthropic傲慢的底裤。,https://img.36krcdn.com/hsossms/20260420/v2_d5e99a0d2ce14db5972432800d2b702b@5888275@ai_oswg1035062oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-04-20 15:57:51
kr36_news|3774865386144519,kr36_news,https://36kr.com/p/3774865386144519,灵光把手搓应用做成「朋友圈」，一人应用时代来了,万物皆可“手搓”。,https://img.36krcdn.com/hsossms/20260420/v2_6e2153d5642c4ab8ba1de0876fc3f8a9@11416942_oswg263949oswg600oswg400_img_png,2026-04-20 15:56:00
